id;address;street;city;zip_code
1;Mouse Villages;Granville Points;Pfannerstillbury;46134
2;Representative Plastic;Lemuel Pines;Jacquesfort;40275-1614
3;Terrace orange Programmable;Cleveland View;Rustyview;54103-1800
4;experiences multi-tasking Tasty;Kling Village;Eagan;13507
5;Avon;Powlowski Crossing;Okunevaborough;17072
6;withdrawal coherent Frozen;Kobe Spurs;El Paso;31747-0709
7;content-based;Lottie Junctions;Priceberg;77149-3387
8;Account program;Shaniya Locks;Roobport;23901
9;Optimization synthesizing Orchestrator;Diego Valley;Baileybury;64055
10;Rustic override;Kyleigh Squares;New Leomouth;79011
